row_id,anomaly_kind,is_anomaly
0,none,0
1,none,0
2,none,0
3,none,0
4,none,0
5,none,0
6,none,0
7,none,0
8,none,0
9,none,0
10,none,0
11,none,0
12,none,0
13,none,0
14,none,0
15,none,0
16,none,0
17,none,0
18,none,0
19,none,0
20,none,0
21,none,0
22,none,0
23,none,0
24,none,0
25,none,0
26,none,0
27,none,0
28,none,0
29,none,0
30,none,0
31,none,0
32,none,0
33,none,0
34,none,0
35,none,0
36,none,0
37,none,0
38,none,0
39,none,0
40,none,0
41,none,0
42,none,0
43,none,0
44,none,0
45,none,0
46,none,0
47,none,0
48,none,0
49,none,0
50,none,0
51,none,0
52,none,0
53,none,0
54,none,0
55,none,0
56,none,0
57,none,0
58,none,0
59,none,0
60,none,0
61,none,0
62,none,0
63,none,0
64,none,0
65,none,0
66,none,0
67,none,0
68,none,0
69,none,0
70,none,0
71,none,0
72,none,0
73,none,0
74,none,0
75,none,0
76,none,0
77,none,0
78,none,0
79,none,0
80,none,0
81,none,0
82,none,0
83,none,0
84,none,0
85,none,0
86,none,0
87,none,0
88,none,0
89,none,0
90,none,0
91,none,0
92,none,0
93,none,0
94,none,0
95,none,0
96,none,0
97,none,0
98,none,0
99,none,0
100,none,0
101,none,0
102,none,0
103,none,0
104,none,0
105,none,0
106,none,0
107,none,0
108,none,0
109,none,0
110,none,0
111,none,0
112,none,0
113,none,0
114,none,0
115,none,0
116,none,0
117,none,0
118,none,0
119,none,0
120,none,0
121,none,0
122,none,0
123,none,0
124,none,0
125,none,0
126,none,0
127,none,0
128,none,0
129,none,0
130,none,0
131,none,0
132,none,0
133,none,0
134,none,0
135,none,0
136,none,0
137,none,0
138,none,0
139,none,0
140,none,0
141,none,0
142,none,0
143,none,0
144,none,0
145,none,0
146,none,0
147,none,0
148,none,0
149,none,0
150,none,0
151,none,0
152,none,0
153,none,0
154,none,0
155,none,0
156,none,0
157,none,0
158,none,0
159,none,0
160,none,0
161,none,0
162,none,0
163,none,0
164,none,0
165,none,0
166,none,0
167,none,0
168,none,0
169,none,0
170,none,0
171,none,0
172,none,0
173,none,0
174,none,0
175,none,0
176,none,0
177,none,0
178,none,0
179,none,0
180,none,0
181,none,0
